CAD_U|CAPSM|E63|ONS|20130326235027|A-32L|13002548|MED|CASLU2013002239//3/27/2013 12:10:31 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//3/27/2013 12:28:28 AM
CAD_U|CAFKU|E4373|AIQ|20130325105554|FKU-2|||//3/27/2013 12:28:29 AM
CAD_U|CAFKU|E4373|AIQ|20130325105554|FKU-2|||//3/27/2013 12:28:29 AM
CAD_U|CAFKU|E4373|AIQ|20130325105554|FKU-2|||//3/27/2013 12:28:29 AM
CAD_U|CAFKU|E4382|AIQ|20130206140833|FKU-2|||//3/27/2013 12:28:30 AM
CAD_U|CAFKU|E4382|AIQ|20130206140833|FKU-2|||//3/27/2013 12:28:30 AM
CAD_U|CAFKU|E4382|AIQ|20130206140833|FKU-2|||//3/27/2013 12:28:30 AM
CAD_U|CABEU|E4681|AIQ|20130325074149|BEU-30|||//3/27/2013 12:28:31 AM
CAD_U|CABEU|E4681|AIQ|20130325074149|BEU-30|||//3/27/2013 12:28:31 AM
CAD_U|CABEU|E4681|AIQ|20130325074149|BEU-30|||//3/27/2013 12:28:31 AM
CAD_U|CABEU|E4684|AIQ|20130325130218|BEU-35|||//3/27/2013 12:28:32 AM
CAD_U|CABEU|E4684|AIQ|20130325130218|BEU-35|||//3/27/2013 12:28:32 AM
CAD_U|CABEU|E4686|AIQ|20130326111654|BEU-30|||//3/27/2013 12:28:33 AM
CAD_U|CABEU|E4686|AIQ|20130326111654|BEU-30|||//3/27/2013 12:28:33 AM
CAD_U|CABEU|E4686|AIQ|20130326111654|BEU-30|||//3/27/2013 12:28:33 AM
CAD_U|CABEU|E4691|AIQ|20130111124344|BEU-30|||//3/27/2013 12:28:35 AM
CAD_U|CABEU|E4691|AIQ|20130111124344|BEU-30|||//3/27/2013 12:28:35 AM
CAD_U|CABEU|E4691|AIQ|20130111124344|BEU-30|||//3/27/2013 12:28:35 AM
CAD_U|CABEU|E4693|AIQ|20130325130221|BEU-30|||//3/27/2013 12:28:36 AM
CAD_U|CABEU|E4693|AIQ|20130325130221|BEU-30|||//3/27/2013 12:28:36 AM
CAD_U|CABEU|E4693|AIQ|20130325130221|BEU-30|||//3/27/2013 12:28:36 AM
CAD_U|CABEU|E4694|AIQ|20130325130219|BEU-30|||//3/27/2013 12:28:37 AM
CAD_U|CABEU|E4694|AIQ|20130325130219|BEU-30|||//3/27/2013 12:28:37 AM
CAD_U|CABEU|GAB1|AIQ|20130325071134|BEU-30|||//3/27/2013 12:28:38 AM
CAD_U|CABEU|GAB1|AIQ|20130325071134|BEU-30|||//3/27/2013 12:28:38 AM
