CAD_U|CAFKU|E4391|AIQ|20130124090525|FKU-2|||//1/29/2013 1:38:29 AM
CAD_U|CAFKU|E4391|AIQ|20130124090525|FKU-2|||//1/29/2013 1:38:29 AM
CAD_U|CAFKU|E4391|AIQ|20130124090525|FKU-2|||//1/29/2013 1:38:29 AM
CAD_U|CAFKU|MIR1|AIQ|20130107084523|FKU-2|||//1/29/2013 1:38:30 AM
CAD_U|CAFKU|MIR1|AIQ|20130107084523|FKU-2|||//1/29/2013 1:38:30 AM
CAD_U|CAFKU|MIR1|AIQ|20130107084523|FKU-2|||//1/29/2013 1:38:30 AM
CAD_U|CAFKU|MIR2|AIQ|20130128162745|FKU-2|||//1/29/2013 1:38:31 AM
CAD_U|CAFKU|MIR2|AIQ|20130128162745|FKU-2|||//1/29/2013 1:38:31 AM
CAD_U|CAFKU|MIR2|AIQ|20130128162745|FKU-2|||//1/29/2013 1:38:31 AM
CAD_U|CAFKU|MIR3|AIQ|20130128162746|FKU-1A|||//1/29/2013 1:38:33 AM
CAD_U|CAFKU|MIR3|AIQ|20130128162746|FKU-1A|||//1/29/2013 1:38:33 AM
CAD_U|CAFKU|MIR3|AIQ|20130128162746|FKU-1A|||//1/29/2013 1:38:33 AM
CAD_U|CAFKU|MIR4|AIQ|20130128162747|FKU-2|||//1/29/2013 1:38:34 AM
CAD_U|CAFKU|MIR4|AIQ|20130128162747|FKU-2|||//1/29/2013 1:38:34 AM
CAD_U|CAFKU|MIR4|AIQ|20130128162747|FKU-2|||//1/29/2013 1:38:34 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//1/29/2013 2:00:52 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//1/29/2013 2:00:52 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//1/29/2013 2:00:52 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//1/29/2013 2:00:53 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//1/29/2013 2:00:53 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//1/29/2013 2:00:53 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//1/29/2013 2:00:54 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//1/29/2013 2:00:54 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//1/29/2013 2:00:54 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//1/29/2013 2:00:55 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//1/29/2013 2:00:55 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//1/29/2013 2:00:55 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//1/29/2013 2:00:56 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//1/29/2013 2:00:56 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//1/29/2013 2:00:56 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//1/29/2013 2:00:57 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//1/29/2013 2:00:57 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//1/29/2013 2:00:57 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//1/29/2013 2:00:58 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//1/29/2013 2:00:58 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//1/29/2013 2:00:58 AM
