CAD_E|CACMB16008613|CASLU2016006299|EMS3CDF/|20160613011801|MED|MEDICAL AID CODE 3|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST| UNNAMED RD|528_D_5||||ME5791,E3466|Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:39 AM
CAD_E|CACMB16008613|CASLU2016006299|EMS3CDF/|20160613011801|MED|MEDICAL AID CODE 3|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST| UNNAMED RD|528_D_5||||ME5791,E3466|Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:45 AM
CAD_U|CASLU|E3466|DSP|20160613011836|G-16A|16008613|MED|CASLU2016006299//6/13/2016 1:20:42 AM
CAD_U|CACMB|ME5791|DSP|20160613011836|G-16B|16008613|MED|CASLU2016006299//6/13/2016 1:20:42 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:21:39 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:21:39 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:21:39 AM
CAD_E|CACMB16008613|CASLU2016006299|EMS3CDF/|20160613011801|MED|MEDICAL AID CODE 3|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST| UNNAMED RD|528_D_5||||ME5791,E3466|Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:21:41 AM
CAD_U|CASLU|E3466|ENR|20160613012141|G-16A|16008613|MED|CASLU2016006299//6/13/2016 1:21:41 AM
CAD_U|CASLU|E3466|ENR|20160613012141|G-16A|16008613|MED|CASLU2016006299//6/13/2016 1:21:41 AM
CAD_U|CASLU|VNT4|AIQ|20160613012146|VNT|||//6/13/2016 1:21:46 AM
CAD_U|CASLU|VNT5|AIQ|20160613012146|VNT|||//6/13/2016 1:21:46 AM
CAD_U|CASLU|VNT1|AIQ|20160613012154|VNT|||//6/13/2016 1:21:54 AM
CAD_U|CACMB|ME5791|ENR|20160613012219|G-16B|16008613|MED|CASLU2016006299//6/13/2016 1:22:20 AM
CAD_U|CACMB|ME5791|ENR|20160613012219|G-16B|16008613|MED|CASLU2016006299//6/13/2016 1:22:20 AM
CAD_E|CACMB16008613|CASLU2016006299|EMS3CDF/|20160613011801|MED|MEDICAL AID CODE 3|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST| UNNAMED RD|528_D_5||||ME5791,E3466|Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:25:36 AM
CAD_U|CASLU|E3466|ONS|20160613012535|G-16A|16008613|MED|CASLU2016006299//6/13/2016 1:25:36 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:27:36 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:27:36 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:27:36 AM
CAD_U|CACMB|ME5791|ONS|20160613012855|G-16B|16008613|MED|CASLU2016006299//6/13/2016 1:28:56 AM
CAD_U|CASLU|E3466|ONS|20160613012535|G-16A|16008613|MED|CASLU2016006299//6/13/2016 1:45:39 AM
