CAD_U|CABEU|GAB4|AIQ|20120810083939|BEU-30|||//8/20/2012 12:38:57 AM
CAD_U|CABEU|GAB5|AIQ|20120810072509|BEU-30|||//8/20/2012 12:38:58 AM
CAD_U|CABEU|GAB5|AIQ|20120810072509|BEU-30|||//8/20/2012 12:38:58 AM
CAD_U|CABEU|GAB5|AIQ|20120810072509|BEU-30|||//8/20/2012 12:38:58 AM
CAD_U|CABEU|GAB6|AIQ|20120804074155|BEU-30|||//8/20/2012 12:38:59 AM
CAD_U|CABEU|GAB6|AIQ|20120804074155|BEU-30|||//8/20/2012 12:38:59 AM
CAD_U|CABEU|GAB6|AIQ|20120804074155|BEU-30|||//8/20/2012 12:38:59 AM
CAD_U|CABEU|HLT406|AIQ|20120705074748|BEU-30|||//8/20/2012 12:39:00 AM
CAD_U|CABEU|HLT406|AIQ|20120705074748|BEU-30|||//8/20/2012 12:39:00 AM
CAD_U|CABEU|HLT406|AIQ|20120705074748|BEU-30|||//8/20/2012 12:39:00 AM
CAD_U|CACDF|T80|AIQ|20120814153007|HAAB|||//8/20/2012 12:39:01 AM
CAD_U|CACDF|T80|AIQ|20120814153007|HAAB|||//8/20/2012 12:39:01 AM
CAD_U|CACDF|T80|AIQ|20120814153007|HAAB|||//8/20/2012 12:39:01 AM
CAD_U|CACDF|T81|AIQ|20120813074022|HAAB|||//8/20/2012 12:39:03 AM
CAD_U|CACDF|T81|AIQ|20120813074022|HAAB|||//8/20/2012 12:39:03 AM
CAD_U|CACDF|T81|AIQ|20120813074022|HAAB|||//8/20/2012 12:39:03 AM
CAD_U|CASLU|CAM22|ONS|20120816170757|VNT|12007651|OAM|CAFKU2012010306//8/20/2012 12:39:03 AM
CAD_U|CASLU|CAM22|ONS|20120816170757|VNT|12007651|OAM|CAFKU2012010306//8/20/2012 12:39:03 AM
CAD_U|CASLU|CAM22|ONS|20120816170757|VNT|12007651|OAM|CAFKU2012010306//8/20/2012 12:39:03 AM
CAD_U|CASLU|CAM22|ONS|20120816170757|VNT|12007651|OAM|CAFKU2012010306//8/20/2012 12:39:03 AM
